Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Stationary Energy (excluding Electricity Generation),,,77900.1,Albury,Riverina Murray,Regional,10050
2016,1,Stationary Energy (excluding Electricity Generation),,,33709.2,Armidale Regional,New England North West,Regional,10130
2016,1,Stationary Energy (excluding Electricity Generation),,,12427.8,Ballina,North Coast,Regional,10250
2016,1,Stationary Energy (excluding Electricity Generation),,,2774.9,Balranald,Far West,Regional,10300
2016,1,Stationary Energy (excluding Electricity Generation),,,58109,Bathurst Regional,Central West and Orana,Regional,10470
2016,1,Stationary Energy (excluding Electricity Generation),,,682313.6,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,Stationary Energy (excluding Electricity Generation),,,46221.6,Bega Valley,South East and Tablelands,Regional,10550
2016,1,Stationary Energy (excluding Electricity Generation),,,8356.5,Bellingen,North Coast,Regional,10600
2016,1,Stationary Energy (excluding Electricity Generation),,,17671.6,Berrigan,Riverina Murray,Regional,10650
2016,1,Stationary Energy (excluding Electricity Generation),,,213822.6,Blacktown,Central River City,Six Cities,10750
2016,1,Stationary Energy (excluding Electricity Generation),,,110433.7,Bland,Riverina Murray,Regional,10800
2016,1,Stationary Energy (excluding Electricity Generation),,,22840.4,Blayney,Central West and Orana,Regional,10850
2016,1,Stationary Energy (excluding Electricity Generation),,,52413.1,Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,Stationary Energy (excluding Electricity Generation),,,50020.7,Bogan,Central West and Orana,Regional,10950
2016,1,Stationary Energy (excluding Electricity Generation),,,4012.5,Bourke,Far West,Regional,11150
2016,1,Stationary Energy (excluding Electricity Generation),,,11404.9,Brewarrina,Far West,Regional,11200
2016,1,Stationary Energy (excluding Electricity Generation),,,23868.1,Broken Hill,Far West,Regional,11250
2016,1,Stationary Energy (excluding Electricity Generation),,,18518.2,Burwood,Eastern Harbour City,Six Cities,11300
2016,1,Stationary Energy (excluding Electricity Generation),,,10305.4,Byron,North Coast,Regional,11350
